"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"5S01",0.368,0.000958,105,0.812,0.495,6.57,9.57,9984,96,0.351,0.188,2.26,3.26,0.981,"T1",0.242,0.00144,137.1,0.881,0.548,10.1,14.4,9980,130,0.374,0.119,2.67,3.85,1.16
"5S02",0.263,0.00157,118.5,0.887,0.582,11.1,15.6,9990,113,0.377,0.113,2.75,3.97,1.19,"T1",0.189,0.00233,158.5,0.925,0.624,16.5,23.3,9990,155,0.34,0.0749,3.15,4.54,1.37
"5S03",0.375,0.000929,96,0.8,0.493,6.23,9.28,9993,92,0.333,0.2,2.23,3.21,0.968,"T1",0.377,0.00122,132.6,0.823,0.514,7.5,12.2,9992,131,0.295,0.177,2.5,3.61,1.09
"5S04",0.339,0.00132,115.1,0.85,0.549,8.7,13.2,9992,110,0.315,0.15,2.58,3.72,1.12,"T1",0.307,0.00176,161.6,0.875,0.569,10.9,17.6,9989,155,0.327,0.125,2.87,4.14,1.25
"5W01",0.478,0.000585,101.3,0.695,0.385,3.91,5.84,9998,98,0.313,0.305,1.77,2.55,0.767,"T1",0.459,0.000722,132.5,0.714,0.407,4.32,7.21,9992,128,0.326,0.286,1.98,2.85,0.858
"5W02",0.422,0.000812,104.8,0.767,0.453,5.33,8.11,9988,101,0.353,0.233,2.09,3.02,0.909,"T1",0.392,0.00107,133.1,0.794,0.487,6.33,10.7,9992,130,0.344,0.206,2.37,3.42,1.03
"5W03",0.451,0.000674,78.4,0.741,0.44,4.68,6.73,9987,76,0.286,0.259,1.91,2.75,0.828,"T1",0.422,0.000866,106.2,0.767,0.466,5.42,8.64,9982,102,0.282,0.233,2.16,3.11,0.937
"5W04",0.392,0.00063,87.4,0.722,0.415,4.25,6.29,9996,84,0.306,0.278,1.84,2.65,0.799,"T1",0.4,0.00073,116.5,0.73,0.423,4.49,7.29,9992,110,0.324,0.27,1.99,2.87,0.863
"1D011",0.49,0.000665,71,0.719,0.449,4.42,6.65,9998,68,0.319,0.281,1.89,2.73,0.823,"T2",0.455,0.000902,84.4,0.761,0.499,5.5,9.01,9992,82,0.289,0.239,2.2,3.17,0.955
"1D021",0.475,0.000591,59.5,0.709,0.443,4.15,5.91,9998,55,0.375,0.291,1.78,2.56,0.772,"T2",0.461,0.000673,68.4,0.724,0.453,4.46,6.73,9994,67,0.294,0.276,1.91,2.75,0.828
"1D031",0.394,0.00103,90.5,0.81,0.52,6.81,10.3,9983,89,0.289,0.19,2.33,3.37,1.01,"T2",0.428,0.000904,119.3,0.774,0.463,5.65,9.03,9989,116,0.308,0.226,2.2,3.18,0.956
"1D041",0.422,0.000585,65.3,0.714,0.424,4.1,5.84,9990,64,0.246,0.286,1.76,2.55,0.766,"T2",0.427,0.00064,87.9,0.717,0.415,4.21,6.39,9990,87,0.193,0.283,1.85,2.68,0.806
"1G01",0.163,0.00156,80,0.902,0.636,11.9,15.6,9990,75,0.25,0.0981,2.75,3.96,1.19,"T2",0.162,0.00205,125.3,0.915,0.626,14.3,20.5,9994,124,0.208,0.0846,3.02,4.35,1.31
"1G021",0.227,0.00109,74.1,0.862,0.56,8.31,10.9,9994,71,0.278,0.138,2.39,3.45,1.04,"T2",0.223,0.00145,104,0.881,0.579,10.1,14.5,9992,101,0.216,0.119,2.67,3.86,1.16
"1G031",0.562,0.000572,57.4,0.656,0.435,3.65,5.71,9986,55,0.196,0.344,1.74,2.51,0.757,"T2",0.428,0.000877,85,0.777,0.494,5.68,8.76,9981,81,0.207,0.223,2.17,3.13,0.942
